RSSI(dBm),Raw(m),Filtered(m)
-71,2.21,1.60
-68,1.50,1.60
-68,1.50,1.60
-68,1.50,1.60
-69,1.70,1.60
-67,1.31,1.60
-68,1.50,1.61
-68,1.50,1.61
-68,1.50,1.61
-69,1.70,1.61
-69,1.70,1.61
-69,1.70,1.61
-68,1.50,1.61
-69,1.70,1.61
-70,1.94,1.61
-68,1.50,1.61
-68,1.50,1.62
-69,1.70,1.62
-69,1.70,1.62
-69,1.70,1.62
-69,1.70,1.62
-70,1.94,1.62
-68,1.50,1.62
-69,1.70,1.62
-68,1.50,1.63
-68,1.50,1.63
-69,1.70,1.63
-67,1.31,1.63
-68,1.50,1.63
-69,1.70,1.64
-71,2.21,1.64
-69,1.70,1.64
-68,1.50,1.64
-69,1.70,1.65
-68,1.50,1.65
-68,1.50,1.65
-70,1.94,1.65
-68,1.50,1.66
-69,1.70,1.66
-68,1.50,1.66
-68,1.50,1.66
-69,1.70,1.66
-70,1.94,1.66
-68,1.50,1.66
-68,1.50,1.67
-70,1.94,1.67
-69,1.70,1.67
-70,1.94,1.67
-69,1.70,1.68
-69,1.70,1.68
-69,1.70,1.68
-67,1.31,1.68
-70,1.94,1.69
-69,1.70,1.69
-68,1.50,1.69
-69,1.70,1.69
-69,1.70,1.69
-69,1.70,1.70
-69,1.70,1.70
-69,1.70,1.70
-69,1.70,1.70
-69,1.70,1.70
-69,1.70,1.70
-68,1.50,1.70
-69,1.70,1.70
-69,1.70,1.70
-69,1.70,1.70
-70,1.94,1.70
-69,1.70,1.70
-69,1.70,1.70
-68,1.50,1.70
-70,1.94,1.70
-69,1.70,1.70
-69,1.70,1.70
-68,1.50,1.59
-68,1.50,1.59
-69,1.70,1.59
-68,1.50,1.59
-68,1.50,1.59
-67,1.31,1.59
-69,1.70,1.59
-68,1.50,1.59
-69,1.70,1.58
-68,1.50,1.58
-69,1.70,1.58
-68,1.50,1.58
-69,1.70,1.58
-68,1.50,1.58
-69,1.70,1.58
-68,1.50,1.58
-68,1.50,1.57
-68,1.50,1.57
-68,1.50,1.57
-68,1.50,1.57
-68,1.50,1.57
-68,1.50,1.57
-69,1.70,1.57
-69,1.70,1.57
-68,1.50,1.56
-69,1.70,1.56
-69,1.70,1.56
-68,1.50,1.56
