RSSI(dBm),Raw(m),Filtered(m)
-55,0.28,0.40
-55,0.28,0.37
-55,0.28,0.35
-55,0.28,0.32
-57,0.36,0.36
-57,0.36,0.36
-57,0.36,0.36
-58,0.41,0.37
-58,0.41,0.37
-56,0.31,0.37
-56,0.31,0.36
-56,0.31,0.35
-56,0.31,0.34
-56,0.31,0.33
-57,0.36,0.32
-57,0.36,0.33
-57,0.36,0.33
-57,0.36,0.34
-57,0.36,0.35
-57,0.36,0.35
-57,0.36,0.35
-57,0.36,0.36
-57,0.36,0.36
-57,0.36,0.36
-56,0.31,0.36
-56,0.31,0.35
-56,0.31,0.34
-56,0.31,0.33
-56,0.31,0.32
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.32
-56,0.31,0.33
-57,0.36,0.33
-56,0.31,0.33
-56,0.31,0.33
-56,0.31,0.32
-56,0.31,0.32
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.32
-57,0.36,0.33
-57,0.36,0.34
-56,0.31,0.35
-56,0.31,0.34
-56,0.31,0.34
-56,0.31,0.33
-56,0.31,0.32
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.32
-57,0.36,0.33
-57,0.36,0.34
-56,0.31,0.35
-57,0.36,0.35
-56,0.31,0.35
-57,0.36,0.34
-56,0.31,0.34
-57,0.36,0.32
-57,0.36,0.33
-58,0.41,0.34
-56,0.31,0.35
-56,0.31,0.35
-56,0.31,0.34
-55,0.28,0.33
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.32
-57,0.36,0.33
-56,0.31,0.33
-57,0.36,0.34
-57,0.36,0.35
-57,0.36,0.35
-57,0.36,0.35
-56,0.31,0.36
-56,0.31,0.35
-56,0.31,0.34
-56,0.31,0.33
-56,0.31,0.32
-56,0.31,0.32
-55,0.28,0.32
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.33
-56,0.31,0.33
-56,0.31,0.33
-56,0.31,0.33
-56,0.31,0.32
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.32
-56,0.31,0.33
-56,0.31,0.33
-56,0.31,0.33
-60,0.53,0.33
-56,0.31,0.32
-56,0.31,0.32
-57,0.36,0.32
-57,0.36,0.33
-57,0.36,0.33
