RSSI(dBm),Raw(m),Filtered(m)
-64,0.89,1.00
-75,3.72,0.98
-64,0.89,0.96
-64,0.89,0.93
-64,0.89,0.91
-64,0.89,0.90
-62,0.68,0.89
-62,0.68,0.84
-62,0.68,0.79
-65,1.01,0.83
-64,0.89,0.88
-64,0.89,0.92
-64,0.89,0.92
-64,0.89,0.90
-63,0.78,0.90
-63,0.78,0.87
-63,0.78,0.84
-63,0.78,0.81
-64,0.89,0.79
-64,0.89,0.81
-64,0.89,0.83
-63,0.78,0.84
-63,0.78,0.84
-63,0.78,0.82
-64,0.89,0.82
-63,0.78,0.80
-62,0.68,0.79
-64,0.89,0.80
-64,0.89,0.84
-63,0.78,0.84
-63,0.78,0.84
-63,0.78,0.83
-63,0.78,0.80
-63,0.78,0.79
-64,0.89,0.79
-64,0.89,0.81
-64,0.89,0.83
-64,0.89,0.86
-63,0.78,0.87
-62,0.68,0.84
-62,0.68,0.80
-63,0.78,0.79
-62,0.68,0.79
-63,0.78,0.78
-63,0.78,0.80
-63,0.78,0.81
-63,0.78,0.79
-63,0.78,0.79
-64,0.89,0.78
-64,0.89,0.81
-64,0.89,0.83
-64,0.89,0.86
-64,0.89,0.87
-64,0.89,0.88
-63,0.78,0.88
-63,0.78,0.86
-63,0.78,0.84
-63,0.78,0.81
-63,0.78,0.79
-62,0.68,0.79
-63,0.78,0.78
-63,0.78,0.78
-62,0.68,0.78
-64,0.89,0.78
-63,0.78,0.80
-64,0.89,0.84
-64,0.89,0.87
-64,0.89,0.88
-64,0.89,0.88
-64,0.89,0.89
-64,0.89,0.89
-64,0.89,0.89
-64,0.89,0.89
-64,0.89,0.89
-64,0.89,0.89
-64,0.89,0.89
-62,0.68,0.89
-62,0.68,0.84
-62,0.68,0.79
-64,0.89,0.80
-64,0.89,0.84
-64,0.89,0.87
-64,0.89,0.88
-64,0.89,0.88
-64,0.89,0.89
-64,0.89,0.89
-64,0.89,0.89
-63,0.78,0.89
-62,0.68,0.85
-62,0.68,0.81
-64,0.89,0.79
-64,0.89,0.81
-64,0.89,0.85
-64,0.89,0.87
-63,0.78,0.88
-63,0.78,0.86
-63,0.78,0.83
-62,0.68,0.80
-63,0.78,0.79
-64,0.89,0.80
