RSSI(dBm),Raw(m),Filtered(m)
-66,1.15,2.00
-70,1.94,1.91
-70,1.94,1.90
-70,1.94,1.90
-69,1.70,1.89
-70,1.94,1.87
-69,1.70,1.87
-69,1.70,1.86
-69,1.70,1.85
-70,1.94,1.84
-70,1.94,1.80
-68,1.50,1.80
-67,1.31,1.79
-68,1.50,1.79
-70,1.94,1.74
-69,1.70,1.74
-70,1.94,1.73
-70,1.94,1.72
-68,1.50,1.71
-69,1.70,1.71
-69,1.70,1.70
-69,1.70,1.70
-68,1.50,1.70
-69,1.70,1.68
-68,1.50,1.67
-69,1.70,1.67
-68,1.50,1.65
-70,1.94,1.65
-69,1.70,1.64
-69,1.70,1.64
-67,1.31,1.63
-70,1.94,1.63
-66,1.15,1.59
-69,1.70,1.59
-69,1.70,1.59
-67,1.31,1.58
-68,1.50,1.57
-69,1.70,1.57
-70,1.94,1.56
-68,1.50,1.55
-69,1.70,1.54
-69,1.70,1.54
-69,1.70,1.54
-67,1.31,1.53
-69,1.70,1.52
-67,1.31,1.52
-66,1.15,1.52
-67,1.31,1.51
-69,1.70,1.51
-70,1.94,1.51
-68,1.50,1.50
-68,1.50,1.50
-68,1.50,1.50
-69,1.70,1.50
-66,1.15,1.50
-67,1.31,1.49
-68,1.50,1.49
-67,1.31,1.49
-67,1.31,1.49
-68,1.50,1.48
-69,1.70,1.48
-67,1.31,1.48
-68,1.50,1.48
-67,1.31,1.48
-68,1.50,1.48
-68,1.50,1.47
-68,1.50,1.47
-69,1.70,1.47
-67,1.31,1.47
-67,1.31,1.47
-69,1.70,1.46
-68,1.50,1.46
-67,1.31,1.46
-68,1.50,1.45
-67,1.31,1.45
-68,1.50,1.45
-68,1.50,1.45
-68,1.50,1.45
-67,1.31,1.45
-68,1.50,1.44
-68,1.50,1.44
-67,1.31,1.44
-68,1.50,1.43
-67,1.31,1.43
-66,1.15,1.43
-68,1.50,1.42
-67,1.31,1.42
-68,1.50,1.42
-67,1.31,1.41
-69,1.70,1.41
-66,1.15,1.41
-68,1.50,1.40
-68,1.50,1.40
-68,1.50,1.40
-70,1.94,1.40
-66,1.15,1.40
-68,1.50,1.40
-66,1.15,1.39
-67,1.31,1.39
-68,1.50,1.39
