RSSI(dBm),Raw(m),Filtered(m)
-60,0.53,0.70
-60,0.53,0.66
-61,0.60,0.64
-61,0.60,0.62
-62,0.68,0.62
-63,0.78,0.64
-62,0.68,0.66
-62,0.68,0.67
-61,0.60,0.67
-60,0.53,0.66
-60,0.53,0.63
-62,0.68,0.62
-61,0.60,0.61
-62,0.68,0.61
-62,0.68,0.63
-61,0.60,0.63
-60,0.53,0.62
-61,0.60,0.62
-61,0.60,0.61
-62,0.68,0.61
-63,0.78,0.64
-61,0.60,0.66
-61,0.60,0.66
-61,0.60,0.65
-61,0.60,0.63
-62,0.68,0.62
-62,0.68,0.63
-62,0.68,0.64
-62,0.68,0.66
-62,0.68,0.67
-62,0.68,0.67
-62,0.68,0.68
-62,0.68,0.68
-61,0.60,0.68
-61,0.60,0.67
-60,0.53,0.64
-61,0.60,0.62
-61,0.60,0.61
-61,0.60,0.61
-61,0.60,0.61
-62,0.68,0.62
-62,0.68,0.63
-62,0.68,0.65
-61,0.60,0.67
-61,0.60,0.66
-61,0.60,0.64
-61,0.60,0.63
-61,0.60,0.62
-61,0.60,0.61
-61,0.60,0.61
-62,0.68,0.62
-62,0.68,0.63
-62,0.68,0.65
-62,0.68,0.67
-63,0.78,0.67
-62,0.68,0.68
-61,0.60,0.68
-61,0.60,0.67
-61,0.60,0.66
-61,0.60,0.64
-61,0.60,0.62
-60,0.53,0.61
-61,0.60,0.61
-61,0.60,0.61
-62,0.68,0.62
-62,0.68,0.63
-63,0.78,0.66
-62,0.68,0.67
-61,0.60,0.67
-61,0.60,0.67
-62,0.68,0.66
-61,0.60,0.65
-61,0.60,0.63
-61,0.60,0.62
-61,0.60,0.61
-62,0.68,0.61
-63,0.78,0.63
-62,0.68,0.65
-62,0.68,0.66
-62,0.68,0.67
-62,0.68,0.68
-61,0.60,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-62,0.68,0.68
-61,0.60,0.68
-61,0.60,0.67
-61,0.60,0.65
-61,0.60,0.63
-61,0.60,0.62
-60,0.53,0.61
-62,0.68,0.61
-61,0.60,0.61
