RSSI(dBm),Raw(m),Filtered(m)
-67,1.31,1.30
-66,1.15,1.30
-66,1.15,1.25
-68,1.50,1.27
-68,1.50,1.32
-68,1.50,1.42
-69,1.70,1.44
-71,2.21,1.47
-67,1.31,1.47
-69,1.70,1.50
-74,3.26,1.56
-67,1.31,1.59
-71,2.21,1.67
-69,1.70,1.71
-71,2.21,1.71
-69,1.70,1.73
-69,1.70,1.75
-69,1.70,1.77
-67,1.31,1.78
-72,2.52,1.78
-69,1.70,1.79
-69,1.70,1.79
-69,1.70,1.79
-70,1.94,1.80
-70,1.94,1.81
-69,1.70,1.81
-70,1.94,1.82
-69,1.70,1.82
-70,1.94,1.82
-72,2.52,1.83
-72,2.52,1.83
-69,1.70,1.84
-70,1.94,1.84
-69,1.70,1.84
-70,1.94,1.85
-70,1.94,1.85
-69,1.70,1.85
-69,1.70,1.86
-69,1.70,1.86
-71,2.21,1.86
-69,1.70,1.86
-69,1.70,1.86
-69,1.70,1.87
-69,1.70,1.87
-69,1.70,1.88
-70,1.94,1.88
-69,1.70,1.88
-70,1.94,1.88
-70,1.94,1.88
-72,2.52,1.88
-72,2.52,1.88
-70,1.94,1.89
-69,1.70,1.89
-71,2.21,1.89
-69,1.70,1.90
-70,1.94,1.90
-70,1.94,1.90
-69,1.70,1.90
-69,1.70,1.91
-70,1.94,1.91
-69,1.70,1.91
-72,2.52,1.92
-70,1.94,1.92
-70,1.94,1.92
-71,2.21,1.92
-69,1.70,1.92
-70,1.94,1.92
-71,2.21,1.93
-71,2.21,1.93
-69,1.70,1.93
-70,1.94,1.93
-69,1.70,1.93
-71,2.21,1.94
-70,1.94,1.94
-70,1.94,1.94
-70,1.94,1.94
-72,2.52,1.95
-69,1.70,1.95
-69,1.70,1.95
-71,2.21,1.95
-71,2.21,1.96
-71,2.21,1.97
-70,1.94,1.97
-70,1.94,1.98
-69,1.70,1.98
-69,1.70,1.98
-71,2.21,1.98
-70,1.94,1.98
-70,1.94,1.98
-71,2.21,2.00
-71,2.21,2.00
-70,1.94,2.01
-70,1.94,2.02
-70,1.94,2.02
-71,2.21,2.02
-72,2.52,2.03
-71,2.21,2.03
-70,1.94,2.04
-71,2.21,2.04
-70,1.94,2.04
-71,2.21,2.04
